draw_date,training_mode,training_draws,best_main_matches,best_star_matches,hit_2_main_or_better,hit_3_main_or_better,hit_2_main_plus_1_star_or_better
2025-11-11,Era 3 diversified random,952,2,1,True,False,True
2025-11-11,All-time training,1892,1,1,False,False,False
2025-11-11,Era 3 only training,952,2,1,True,False,False
2025-11-11,Recent 250 draws training,250,1,1,False,False,False
2025-11-11,Pure random baseline,1892,2,1,True,False,True
2025-11-14,Era 3 diversified random,953,1,2,False,False,False
2025-11-14,All-time training,1893,1,1,False,False,False
2025-11-14,Era 3 only training,953,1,1,False,False,False
2025-11-14,Recent 250 draws training,250,1,1,False,False,False
2025-11-14,Pure random baseline,1893,2,1,True,False,True
2025-11-18,Era 3 diversified random,954,2,1,True,False,False
2025-11-18,All-time training,1894,2,1,True,False,False
2025-11-18,Era 3 only training,954,2,1,True,False,True
2025-11-18,Recent 250 draws training,250,1,1,False,False,False
2025-11-18,Pure random baseline,1894,2,1,True,False,False
2025-11-21,Era 3 diversified random,955,1,1,False,False,False
2025-11-21,All-time training,1895,1,1,False,False,False
2025-11-21,Era 3 only training,955,1,1,False,False,False
2025-11-21,Recent 250 draws training,250,3,2,True,True,True
2025-11-21,Pure random baseline,1895,1,1,False,False,False
2025-11-25,Era 3 diversified random,956,1,1,False,False,False
2025-11-25,All-time training,1896,1,1,False,False,False
2025-11-25,Era 3 only training,956,1,1,False,False,False
2025-11-25,Recent 250 draws training,250,1,1,False,False,False
2025-11-25,Pure random baseline,1896,1,1,False,False,False
2025-11-28,Era 3 diversified random,957,2,2,True,False,False
2025-11-28,All-time training,1897,1,1,False,False,False
2025-11-28,Era 3 only training,957,1,1,False,False,False
2025-11-28,Recent 250 draws training,250,1,1,False,False,False
2025-11-28,Pure random baseline,1897,2,0,True,False,False
2025-12-02,Era 3 diversified random,958,2,1,True,False,False
2025-12-02,All-time training,1898,1,2,False,False,False
2025-12-02,Era 3 only training,958,1,1,False,False,False
2025-12-02,Recent 250 draws training,250,1,1,False,False,False
2025-12-02,Pure random baseline,1898,2,2,True,False,True
2025-12-05,Era 3 diversified random,959,2,1,True,False,False
2025-12-05,All-time training,1899,2,1,True,False,False
2025-12-05,Era 3 only training,959,2,1,True,False,True
2025-12-05,Recent 250 draws training,250,2,1,True,False,True
2025-12-05,Pure random baseline,1899,1,0,False,False,False
2025-12-09,Era 3 diversified random,960,1,1,False,False,False
2025-12-09,All-time training,1900,2,1,True,False,False
2025-12-09,Era 3 only training,960,1,1,False,False,False
2025-12-09,Recent 250 draws training,250,1,1,False,False,False
2025-12-09,Pure random baseline,1900,1,1,False,False,False
2025-12-12,Era 3 diversified random,961,2,2,True,False,True
2025-12-12,All-time training,1901,2,1,True,False,True
2025-12-12,Era 3 only training,961,2,1,True,False,True
2025-12-12,Recent 250 draws training,250,1,1,False,False,False
2025-12-12,Pure random baseline,1901,2,1,True,False,False
2025-12-16,Era 3 diversified random,962,2,1,True,False,True
2025-12-16,All-time training,1902,2,1,True,False,True
2025-12-16,Era 3 only training,962,1,1,False,False,False
2025-12-16,Recent 250 draws training,250,2,1,True,False,False
2025-12-16,Pure random baseline,1902,1,1,False,False,False
2025-12-19,Era 3 diversified random,963,1,1,False,False,False
2025-12-19,All-time training,1903,1,2,False,False,False
2025-12-19,Era 3 only training,963,1,2,False,False,False
2025-12-19,Recent 250 draws training,250,1,1,False,False,False
2025-12-19,Pure random baseline,1903,2,1,True,False,True
2025-12-23,Era 3 diversified random,964,1,1,False,False,False
2025-12-23,All-time training,1904,1,1,False,False,False
2025-12-23,Era 3 only training,964,1,1,False,False,False
2025-12-23,Recent 250 draws training,250,0,2,False,False,False
2025-12-23,Pure random baseline,1904,0,1,False,False,False
2025-12-26,Era 3 diversified random,965,2,1,True,False,True
2025-12-26,All-time training,1905,2,1,True,False,False
2025-12-26,Era 3 only training,965,2,1,True,False,True
2025-12-26,Recent 250 draws training,250,3,1,True,True,False
2025-12-26,Pure random baseline,1905,3,1,True,True,False
2025-12-30,Era 3 diversified random,966,1,1,False,False,False
2025-12-30,All-time training,1906,1,2,False,False,False
2025-12-30,Era 3 only training,966,0,2,False,False,False
2025-12-30,Recent 250 draws training,250,0,1,False,False,False
2025-12-30,Pure random baseline,1906,0,1,False,False,False
2026-01-02,Era 3 diversified random,967,1,1,False,False,False
2026-01-02,All-time training,1907,0,1,False,False,False
2026-01-02,Era 3 only training,967,1,1,False,False,False
2026-01-02,Recent 250 draws training,250,1,1,False,False,False
2026-01-02,Pure random baseline,1907,0,1,False,False,False
2026-01-06,Era 3 diversified random,968,1,1,False,False,False
2026-01-06,All-time training,1908,1,1,False,False,False
2026-01-06,Era 3 only training,968,1,1,False,False,False
2026-01-06,Recent 250 draws training,250,1,1,False,False,False
2026-01-06,Pure random baseline,1908,2,2,True,False,True
2026-01-09,Era 3 diversified random,969,1,1,False,False,False
2026-01-09,All-time training,1909,1,1,False,False,False
2026-01-09,Era 3 only training,969,1,1,False,False,False
2026-01-09,Recent 250 draws training,250,0,1,False,False,False
2026-01-09,Pure random baseline,1909,2,1,True,False,False
2026-01-13,Era 3 diversified random,970,2,1,True,False,False
2026-01-13,All-time training,1910,2,1,True,False,False
2026-01-13,Era 3 only training,970,2,1,True,False,True
2026-01-13,Recent 250 draws training,250,2,2,True,False,True
2026-01-13,Pure random baseline,1910,2,1,True,False,False
2026-01-16,Era 3 diversified random,971,2,2,True,False,True
2026-01-16,All-time training,1911,3,1,True,True,True
2026-01-16,Era 3 only training,971,3,1,True,True,True
2026-01-16,Recent 250 draws training,250,2,1,True,False,False
2026-01-16,Pure random baseline,1911,2,2,True,False,False
2026-01-20,Era 3 diversified random,972,1,1,False,False,False
2026-01-20,All-time training,1912,2,2,True,False,True
2026-01-20,Era 3 only training,972,1,2,False,False,False
2026-01-20,Recent 250 draws training,250,1,1,False,False,False
2026-01-20,Pure random baseline,1912,1,1,False,False,False
2026-01-23,Era 3 diversified random,973,1,1,False,False,False
2026-01-23,All-time training,1913,1,2,False,False,False
2026-01-23,Era 3 only training,973,3,1,True,True,True
2026-01-23,Recent 250 draws training,250,1,1,False,False,False
2026-01-23,Pure random baseline,1913,1,1,False,False,False
2026-01-27,Era 3 diversified random,974,2,1,True,False,True
2026-01-27,All-time training,1914,1,1,False,False,False
2026-01-27,Era 3 only training,974,1,1,False,False,False
2026-01-27,Recent 250 draws training,250,2,1,True,False,True
2026-01-27,Pure random baseline,1914,2,2,True,False,True
2026-01-30,Era 3 diversified random,975,1,1,False,False,False
2026-01-30,All-time training,1915,0,1,False,False,False
2026-01-30,Era 3 only training,975,1,1,False,False,False
2026-01-30,Recent 250 draws training,250,0,1,False,False,False
2026-01-30,Pure random baseline,1915,1,1,False,False,False
2026-02-03,Era 3 diversified random,976,1,1,False,False,False
2026-02-03,All-time training,1916,1,2,False,False,False
2026-02-03,Era 3 only training,976,1,1,False,False,False
2026-02-03,Recent 250 draws training,250,1,1,False,False,False
2026-02-03,Pure random baseline,1916,2,1,True,False,False
2026-02-06,Era 3 diversified random,977,2,1,True,False,False
2026-02-06,All-time training,1917,2,2,True,False,False
2026-02-06,Era 3 only training,977,0,2,False,False,False
2026-02-06,Recent 250 draws training,250,2,1,True,False,True
2026-02-06,Pure random baseline,1917,1,1,False,False,False
2026-02-10,Era 3 diversified random,978,1,1,False,False,False
2026-02-10,All-time training,1918,1,1,False,False,False
2026-02-10,Era 3 only training,978,2,1,True,False,False
2026-02-10,Recent 250 draws training,250,1,1,False,False,False
2026-02-10,Pure random baseline,1918,0,1,False,False,False
2026-02-13,Era 3 diversified random,979,2,1,True,False,True
2026-02-13,All-time training,1919,1,1,False,False,False
2026-02-13,Era 3 only training,979,1,1,False,False,False
2026-02-13,Recent 250 draws training,250,1,1,False,False,False
2026-02-13,Pure random baseline,1919,1,1,False,False,False
2026-02-17,Era 3 diversified random,980,1,1,False,False,False
2026-02-17,All-time training,1920,1,1,False,False,False
2026-02-17,Era 3 only training,980,1,2,False,False,False
2026-02-17,Recent 250 draws training,250,1,1,False,False,False
2026-02-17,Pure random baseline,1920,1,1,False,False,False
2026-02-20,Era 3 diversified random,981,1,0,False,False,False
2026-02-20,All-time training,1921,1,2,False,False,False
2026-02-20,Era 3 only training,981,1,1,False,False,False
2026-02-20,Recent 250 draws training,250,1,1,False,False,False
2026-02-20,Pure random baseline,1921,2,0,True,False,False
2026-02-24,Era 3 diversified random,982,1,1,False,False,False
2026-02-24,All-time training,1922,0,2,False,False,False
2026-02-24,Era 3 only training,982,0,2,False,False,False
2026-02-24,Recent 250 draws training,250,0,1,False,False,False
2026-02-24,Pure random baseline,1922,2,1,True,False,False
2026-02-27,Era 3 diversified random,983,2,2,True,False,True
2026-02-27,All-time training,1923,1,1,False,False,False
2026-02-27,Era 3 only training,983,2,1,True,False,False
2026-02-27,Recent 250 draws training,250,2,1,True,False,False
2026-02-27,Pure random baseline,1923,2,1,True,False,False
2026-03-03,Era 3 diversified random,984,2,1,True,False,False
2026-03-03,All-time training,1924,0,1,False,False,False
2026-03-03,Era 3 only training,984,0,1,False,False,False
2026-03-03,Recent 250 draws training,250,0,1,False,False,False
2026-03-03,Pure random baseline,1924,1,1,False,False,False
2026-03-06,Era 3 diversified random,985,1,1,False,False,False
2026-03-06,All-time training,1925,1,1,False,False,False
2026-03-06,Era 3 only training,985,1,1,False,False,False
2026-03-06,Recent 250 draws training,250,1,1,False,False,False
2026-03-06,Pure random baseline,1925,1,1,False,False,False
2026-03-10,Era 3 diversified random,986,2,2,True,False,True
2026-03-10,All-time training,1926,2,1,True,False,True
2026-03-10,Era 3 only training,986,1,2,False,False,False
2026-03-10,Recent 250 draws training,250,2,2,True,False,True
2026-03-10,Pure random baseline,1926,1,1,False,False,False
2026-03-13,Era 3 diversified random,987,2,1,True,False,False
2026-03-13,All-time training,1927,1,1,False,False,False
2026-03-13,Era 3 only training,987,2,1,True,False,False
2026-03-13,Recent 250 draws training,250,2,1,True,False,True
2026-03-13,Pure random baseline,1927,1,1,False,False,False
2026-03-17,Era 3 diversified random,988,1,1,False,False,False
2026-03-17,All-time training,1928,1,1,False,False,False
2026-03-17,Era 3 only training,988,2,1,True,False,True
2026-03-17,Recent 250 draws training,250,0,1,False,False,False
2026-03-17,Pure random baseline,1928,2,1,True,False,False
2026-03-20,Era 3 diversified random,989,1,1,False,False,False
2026-03-20,All-time training,1929,1,1,False,False,False
2026-03-20,Era 3 only training,989,0,1,False,False,False
2026-03-20,Recent 250 draws training,250,0,2,False,False,False
2026-03-20,Pure random baseline,1929,1,1,False,False,False
2026-03-24,Era 3 diversified random,990,1,1,False,False,False
2026-03-24,All-time training,1930,1,1,False,False,False
2026-03-24,Era 3 only training,990,2,1,True,False,False
2026-03-24,Recent 250 draws training,250,0,1,False,False,False
2026-03-24,Pure random baseline,1930,2,1,True,False,False
2026-03-27,Era 3 diversified random,991,2,1,True,False,True
2026-03-27,All-time training,1931,0,2,False,False,False
2026-03-27,Era 3 only training,991,1,1,False,False,False
2026-03-27,Recent 250 draws training,250,1,1,False,False,False
2026-03-27,Pure random baseline,1931,1,2,False,False,False
2026-03-31,Era 3 diversified random,992,1,1,False,False,False
2026-03-31,All-time training,1932,2,1,True,False,True
2026-03-31,Era 3 only training,992,2,1,True,False,True
2026-03-31,Recent 250 draws training,250,1,1,False,False,False
2026-03-31,Pure random baseline,1932,2,2,True,False,True
2026-04-03,Era 3 diversified random,993,2,1,True,False,False
2026-04-03,All-time training,1933,2,1,True,False,True
2026-04-03,Era 3 only training,993,1,1,False,False,False
2026-04-03,Recent 250 draws training,250,1,1,False,False,False
2026-04-03,Pure random baseline,1933,2,1,True,False,False
2026-04-07,Era 3 diversified random,994,1,1,False,False,False
2026-04-07,All-time training,1934,2,2,True,False,True
2026-04-07,Era 3 only training,994,2,1,True,False,True
2026-04-07,Recent 250 draws training,250,2,1,True,False,False
2026-04-07,Pure random baseline,1934,1,1,False,False,False
2026-04-10,Era 3 diversified random,995,2,1,True,False,False
2026-04-10,All-time training,1935,0,1,False,False,False
2026-04-10,Era 3 only training,995,1,1,False,False,False
2026-04-10,Recent 250 draws training,250,1,1,False,False,False
2026-04-10,Pure random baseline,1935,2,1,True,False,False
2026-04-14,Era 3 diversified random,996,1,1,False,False,False
2026-04-14,All-time training,1936,1,1,False,False,False
2026-04-14,Era 3 only training,996,2,1,True,False,False
2026-04-14,Recent 250 draws training,250,1,1,False,False,False
2026-04-14,Pure random baseline,1936,2,1,True,False,True
2026-04-17,Era 3 diversified random,997,2,1,True,False,False
2026-04-17,All-time training,1937,2,1,True,False,True
2026-04-17,Era 3 only training,997,1,1,False,False,False
2026-04-17,Recent 250 draws training,250,1,1,False,False,False
2026-04-17,Pure random baseline,1937,2,1,True,False,False
2026-04-21,Era 3 diversified random,998,1,1,False,False,False
2026-04-21,All-time training,1938,2,2,True,False,False
2026-04-21,Era 3 only training,998,1,1,False,False,False
2026-04-21,Recent 250 draws training,250,2,1,True,False,True
2026-04-21,Pure random baseline,1938,1,1,False,False,False
2026-04-24,Era 3 diversified random,999,3,1,True,True,False
2026-04-24,All-time training,1939,1,1,False,False,False
2026-04-24,Era 3 only training,999,1,1,False,False,False
2026-04-24,Recent 250 draws training,250,2,1,True,False,True
2026-04-24,Pure random baseline,1939,2,2,True,False,True
2026-04-28,Era 3 diversified random,1000,1,1,False,False,False
2026-04-28,All-time training,1940,1,2,False,False,False
2026-04-28,Era 3 only training,1000,0,1,False,False,False
2026-04-28,Recent 250 draws training,250,1,1,False,False,False
2026-04-28,Pure random baseline,1940,2,1,True,False,False
2026-05-01,Era 3 diversified random,1001,2,1,True,False,True
2026-05-01,All-time training,1941,2,2,True,False,True
2026-05-01,Era 3 only training,1001,2,1,True,False,True
2026-05-01,Recent 250 draws training,250,2,1,True,False,True
2026-05-01,Pure random baseline,1941,2,1,True,False,True
2026-05-05,Era 3 diversified random,1002,1,1,False,False,False
2026-05-05,All-time training,1942,0,1,False,False,False
2026-05-05,Era 3 only training,1002,1,1,False,False,False
2026-05-05,Recent 250 draws training,250,2,1,True,False,False
2026-05-05,Pure random baseline,1942,2,1,True,False,False
2026-05-08,Era 3 diversified random,1003,1,1,False,False,False
2026-05-08,All-time training,1943,1,1,False,False,False
2026-05-08,Era 3 only training,1003,1,1,False,False,False
2026-05-08,Recent 250 draws training,250,1,1,False,False,False
2026-05-08,Pure random baseline,1943,1,1,False,False,False
2026-05-12,Era 3 diversified random,1004,2,2,True,False,False
2026-05-12,All-time training,1944,1,1,False,False,False
2026-05-12,Era 3 only training,1004,1,1,False,False,False
2026-05-12,Recent 250 draws training,250,1,2,False,False,False
2026-05-12,Pure random baseline,1944,2,1,True,False,False
2026-05-15,Era 3 diversified random,1005,2,1,True,False,False
2026-05-15,All-time training,1945,1,1,False,False,False
2026-05-15,Era 3 only training,1005,2,1,True,False,False
2026-05-15,Recent 250 draws training,250,1,1,False,False,False
2026-05-15,Pure random baseline,1945,2,2,True,False,False
2026-05-19,Era 3 diversified random,1006,2,1,True,False,False
2026-05-19,All-time training,1946,0,1,False,False,False
2026-05-19,Era 3 only training,1006,1,2,False,False,False
2026-05-19,Recent 250 draws training,250,1,2,False,False,False
2026-05-19,Pure random baseline,1946,1,1,False,False,False
2026-05-22,Era 3 diversified random,1007,2,2,True,False,False
2026-05-22,All-time training,1947,1,1,False,False,False
2026-05-22,Era 3 only training,1007,1,1,False,False,False
2026-05-22,Recent 250 draws training,250,1,1,False,False,False
2026-05-22,Pure random baseline,1947,2,1,True,False,True
2026-05-26,Era 3 diversified random,1008,1,1,False,False,False
2026-05-26,All-time training,1948,1,2,False,False,False
2026-05-26,Era 3 only training,1008,1,2,False,False,False
2026-05-26,Recent 250 draws training,250,0,0,False,False,False
2026-05-26,Pure random baseline,1948,0,1,False,False,False
2026-05-29,Era 3 diversified random,1009,2,1,True,False,True
2026-05-29,All-time training,1949,2,1,True,False,True
2026-05-29,Era 3 only training,1009,2,1,True,False,False
2026-05-29,Recent 250 draws training,250,2,1,True,False,True
2026-05-29,Pure random baseline,1949,2,1,True,False,False
2026-06-02,Era 3 diversified random,1010,1,1,False,False,False
2026-06-02,All-time training,1950,1,1,False,False,False
2026-06-02,Era 3 only training,1010,2,1,True,False,False
2026-06-02,Recent 250 draws training,250,1,2,False,False,False
2026-06-02,Pure random baseline,1950,1,1,False,False,False
2026-06-05,Era 3 diversified random,1011,1,1,False,False,False
2026-06-05,All-time training,1951,1,1,False,False,False
2026-06-05,Era 3 only training,1011,1,1,False,False,False
2026-06-05,Recent 250 draws training,250,1,1,False,False,False
2026-06-05,Pure random baseline,1951,1,1,False,False,False
